curve_id,path,relative_path,file_name,structure,crystallinity_pct,crystallinity,deformation_rate_label,deformation_rate,n_raw,n_original,n_smoothed,n_cut,yield_strain,yield_stress,youngs_modulus,end_linear_strain,end_linear_stress,ultimate_strain,ultimate_stress
lattice_ipp_10_in.def_2.4e-7_Tau,/data/hlobato/cryst/lattice/ipp_10/in.def_2.4e-7/Tau.evol,lattice/ipp_10/in.def_2.4e-7/Tau.evol,Tau.evol,lattice,10,0.1,2.4e-7,2.4e-07,4000,1445,1445,1445,0.13483,48.26660376827112,681.4012853072023,0.050939999999999985,35.457366525,2.99882,101.67457125
lattice_ipp_10_in.def_7.4e-7_Tau,/data/hlobato/cryst/lattice/ipp_10/in.def_7.4e-7/Tau.evol,lattice/ipp_10/in.def_7.4e-7/Tau.evol,Tau.evol,lattice,10,0.1,7.4e-7,7.4e-07,4000,469,469,437,0.15182000000000007,56.21988494838404,748.0348861216205,0.06020000000000003,44.945236875,2.63214,106.32133574999999
lattice_ipp_10_in.def_7.4e-8_Tau,/data/hlobato/cryst/lattice/ipp_10/in.def_7.4e-8/Tau.evol,lattice/ipp_10/in.def_7.4e-8/Tau.evol,Tau.evol,lattice,10,0.1,7.4e-8,7.4e-08,4000,4001,4001,4001,0.11897000000000002,41.134422455103795,696.5308833058074,0.03577999999999992,27.4781241,2.26718,87.4118616
lattice_ipp_20_in.def_2.4e-7_Tau,/data/hlobato/cryst/lattice/ipp_20/in.def_2.4e-7/Tau.evol,lattice/ipp_20/in.def_2.4e-7/Tau.evol,Tau.evol,lattice,20,0.2,2.4e-7,2.4e-07,4000,1445,1445,1438,0.1315599999999999,45.0801652378987,625.8551358083291,0.055989999999999984,34.747483575,2.97204,94.397105775
lattice_ipp_20_in.def_7.4e-7_Tau,/data/hlobato/cryst/lattice/ipp_20/in.def_7.4e-7/Tau.evol,lattice/ipp_20/in.def_7.4e-7/Tau.evol,Tau.evol,lattice,20,0.2,7.4e-7,7.4e-07,4000,469,469,459,0.13826000000000005,54.30651943926902,711.4837432364379,0.06020000000000003,42.055650525000004,2.87653,95.262826575
lattice_ipp_20_in.def_7.4e-8_Tau,/data/hlobato/cryst/lattice/ipp_20/in.def_7.4e-8/Tau.evol,lattice/ipp_20/in.def_7.4e-8/Tau.evol,Tau.evol,lattice,20,0.2,7.4e-8,7.4e-08,4000,4001,4001,3870,0.1266099999999999,39.45883241124876,681.526218787845,0.036699999999999955,23.949075675,2.14291,85.29771547499999
lattice_ipp_30_in.def_2.4e-7_Tau,/data/hlobato/cryst/lattice/ipp_30/in.def_2.4e-7/Tau.evol,lattice/ipp_30/in.def_2.4e-7/Tau.evol,Tau.evol,lattice,30,0.3,2.4e-7,2.4e-07,4000,1445,1445,1356,0.17473000000000005,45.68264356788903,797.8396061698628,0.042890000000000095,30.103454850000002,2.67135,81.383733375
lattice_ipp_30_in.def_7.4e-7_Tau,/data/hlobato/cryst/lattice/ipp_30/in.def_7.4e-7/Tau.evol,lattice/ipp_30/in.def_7.4e-7/Tau.evol,Tau.evol,lattice,30,0.3,7.4e-7,7.4e-07,4000,469,469,469,0.20411,54.87585583128938,684.6849550516602,0.06335000000000002,39.945050775,2.99299,89.737979625
lattice_ipp_30_in.def_7.4e-8_Tau,/data/hlobato/cryst/lattice/ipp_30/in.def_7.4e-8/Tau.evol,lattice/ipp_30/in.def_7.4e-8/Tau.evol,Tau.evol,lattice,30,0.3,7.4e-8,7.4e-08,4000,4001,4001,3629,0.26485000000000003,42.65937221970889,539.9994180384042,0.05122000000000004,27.2722317,1.92652,74.12511435
lattice_ipp_40_in.def_2.4e-7_Tau,/data/hlobato/cryst/lattice/ipp_40/in.def_2.4e-7/Tau.evol,lattice/ipp_40/in.def_2.4e-7/Tau.evol,Tau.evol,lattice,40,0.4,2.4e-7,2.4e-07,4000,1445,1445,1411,0.12722999999999995,43.561651676726775,710.0502186843445,0.042890000000000095,34.42314225,2.87041,92.48277255
